Informasi nama, keahlian, jadwal, dan gaya bimbingan dosen

Nama Dosen Pembimbing	Keahlian	Jadwal Bimbingan	Gaya Bimbingan
Liliana S.T. M.Eng. Ph.D.	Computer Vision, Virtual Reality Game Development, Aritificial Intelligence.	Senin 16.00 - 18.00   Selasa 16.00 - 18.00	Liliana merupakan seorang dosen pembimbing yang tidak hanya fokus pada keperluan akademis mahasiswa bimbingan. Beliau cenderung juga membantu mahasiswa secara psikologis. Beliau siap mendengar keluh kesah mahasiswa bimbingan sekaligus memberikan solusi untuk itu.
Dr. Andi Wijaya S.Kom. M.T.	Data Science, Machine Learning, Big Data Analytics, Cloud Computing.	Jadwal Bimbingan: Rabu 14.00 - 16.00  Jumat 10.00 - 12.00	Dr. Andi sangat detail dan teliti dalam membimbing mahasiswa. Beliau selalu memastikan bahwa setiap mahasiswa memahami konsep dasar sebelum melanjutkan ke topik yang lebih kompleks. Beliau juga sangat terbuka untuk diskusi dan memberikan banyak referensi bacaan.
Prof. Budi Santoso S.T. M.Sc. Ph.D.	Network Security, Cybersecurity, Cryptography, Ethical Hacking.	Jadwal Bimbingan: Senin 09.00 - 11.00  Kamis 13.00 - 15.00	Prof. Budi dikenal sebagai dosen yang sangat disiplin dan tegas. Beliau menekankan pentingnya etika dalam penelitian dan selalu mendorong mahasiswa untuk berpikir kritis dan analitis. Beliau juga sering memberikan tantangan praktis untuk menguji pemahaman mahasiswa.
Ir. Citra Dewi M.T. Ph.D.	Software Engineering, Agile Development, Development Operational, Mobile Application Development.	Jadwal Bimbingan: Selasa 15.00 - 17.00  Jumat 14.00 - 16.00	Ir. Citra sangat mendukung dan selalu berusaha menciptakan lingkungan yang nyaman bagi mahasiswa. Beliau sering menggunakan pendekatan kolaboratif dalam bimbingan dan mendorong mahasiswa untuk bekerja dalam tim. Beliau juga sangat responsif terhadap pertanyaan dan masalah yang dihadapi mahasiswa.
Dr. Dedi Kurniawan S.T. M.Eng.	Artificial Intelligence, Natural Language Processing, Computer Vision, Robotics.	Jadwal Bimbingan: Rabu 10.00 - 12.00  Kamis 16.00 - 18.00	Dr. Dedi sangat inovatif dan selalu mendorong mahasiswa untuk berpikir out-of-the-box. Beliau sering memberikan proyek-proyek penelitian yang menantang dan relevan dengan perkembangan teknologi terkini. Beliau juga sangat mendukung pengembangan soft skills mahasiswa.
Prof. Eko Prasetyo S.Kom. M.Sc. Ph.D.	Web Development, Internet of Things, Cloud Computing, Blockchain Technology.	Jadwal Bimbingan: Senin 13.00 - 15.00  Kamis 09.00 - 11.00	Prof. Eko sangat berorientasi pada hasil dan selalu mendorong mahasiswa untuk mencapai target penelitian mereka. Beliau sering memberikan feedback konstruktif dan membantu mahasiswa dalam merencanakan langkah-langkah penelitian mereka. Beliau juga sangat mendukung penggunaan teknologi terbaru dalam penelitian.
Ir. Resmana Lim M.Eng.	Electrical Engineering, Internet of Things, Computer Architecture, Computer Theory	Jadwal Bimbingan: Senin 13.00 - 15.00  Kamis 09.00 - 11.00	 



Informasi publikasi dosen

Nama Dosen	Judul Paper	Abstrak/Preview	Jenis	Tahun	Tag
Adi Wibowo S.T., M.T., Ph.D	Sistem Pencarian Forum Berbasis Ontologi Dan Label	Salah satu kegiatan yang sering dilakukan pengguna internet adalah berdiskusi melalui sebuah forum. Setiap forum terbagi ke dalam beberapa kategori, dan setiap kategori memiliki beberapa percakapan (thread). Setiap percakapan dapat diberi label (tag) baik oleh pengguna yang membuka percakapan tersebut, atau peserta forum. Masalah yang muncul adalah bila sebuah forum telah menjadi besar mencari percakapan yang tepat yang sesuai kebutuhan pengguna menjadi lebih sulit. Penelitian ini bertujuan mengusulkan metode rekomendasi percakapan di sebuah forum internet yang menggunakan label dan didukung oleh ontologi yang sesuai dengan kategori percakapan. Penelitian ini mengkhususkan pada forum dengan kategori teknologi komputer. Forum tersebut adalah StackOverflow. Pada setiap percakapan pada forum tersebut terdapat label-label yang menjelaskan isi percakapan, misalnya C#, recursive, programming, dll. Label-label tersebut dikembangkan (diperbanyak) menggunakan ontologi komputer. Hasilnya adalah setiap percakapan akan diwakili oleh label-label asli dari StackOverflow, dan ditambah dengan label-label baru yang berasal dari ontologi. Label-label tersebut digunakan dalam proses pencarian berbasis Vector Space Model (VSM). Hasil penelitian menunjukkan bahwa penggunaan ontologi sebagai metode keyword extension meningkatkan nilai recall dari metode VSM tersebut.	Journal	2015	 Forum, Ontologi, Label Search
	Pengembangan Aplikasi Extendable Content Management System	Content Management System (CMS) adalah aplikasi untuk membuat sebuah website dengan mudah dimana editor tidak diharuskan untuk memahami HTML. Pada saat ini terdapat beberapa CMS yang terkenal, yaitu Wordpress, dan Drupal. CMS-CMS tersebut memiliki kelebihan yaitu dapat ditambah kemampuannya menggunakan extension. Bila CMS sebelumnya tidak dapat menerima komentar di setiap halamannya, extension memungkinkan pengguna menambah dan melihat komentar di setiap halaman website. Demikian juga extension dapat menambah kemampuan mengisi dan melihat galeri gambar pada website tersebut. Kedua CMS di atas memiliki kelebihan yaitu jumlah extension yang banyak. Tetapi wordpress memiliki kekurangan, yaitu blok-blok yang membangun tampilan website tidak dapat dipilih oleh editor. Drupal memberi pilihan pada editor blok-blok apa yang ingin ditampilkan di website, tetapi konsep node di drupal cukup kompleks terutama bila dibutuhkan hanya website yang sederhana. Untuk itu penelitian ini menyarankan adanya sebuah CMS yang mudah dikembangkan menggunakan extension, tetapi memberi kesempatan pada editor memilih blok mana yang ingin ditampilkan, dan mudah digunakan. Penelitian ini menghasilkan konsep penambahan extension otomatis, dimana CMS dapat mengenali secara otomatis extension yang ditambahkan, membuat tabel-tabel yang diperlukan extension secara otomatis, dan menggunakan konsep hook dimana CMS akan memanggil extension hanya bila diperlukan. Extension yang dikembangkan sebagai contoh pada penelitian ini adalah komentar, dan galeri gambar.	Journal	2015	Extension, content management system
	Perencanaan Arsitektur Teknologi pada PT. X	PT. X merupakan perusahaan yang bergerak dibidang manufaktur kertas, yang memiliki beberapa divisi untuk menjalankan prosesproses bisnis perusahaan. Pada saat ini perusahaan telah memiliki sistem informasi untuk mendukung setiap proses bisnis perusahaan, akan tetapi sistem informasi yang ada saat ini memiliki banyak kekurangan karena belum terintegrasi secara menyeluruh. Sistem informasi yang digunakan pada saat ini hanya untuk mendukung pembukuan akutansi, sedangkan proses bisnis lainnya lebih banyak menggunakan sistem pencatatan manual. Berdasarkan hal tersebut, maka dilakukan analisis dan pembuatan desain enterprise architecture untuk perusahaan. Kerangka kerja yang digunakan yaitu Enterprise Architecture Planning. Dalam mendalami proses bisnis perusahaan, maka dilakukan pemodelan bisnis dan analisa strategi bisnis perusahaan. Setelah itu tahapan selanjutnya adalah melihat kondisi information technology pada saat ini, permasalahan yang dihadapi, serta kebutuhan information technology dimasa depan. Lalu dari hal-hal tersebut, maka dilakukan pembuatan desain arsitektur data, arsitektur aplikasi dan arsitektur teknologi.	Journal	2015	Analisa Risiko Software, ISO 29110, OWASP, NIST 800-30, Proyek Pengembangan Software
	Analisa Risiko Proyek Pengembangan Software Pada CV. XYZ	"CV. XYZ adalah suatu perusahaan berukuran kecil yang bergerak di bidang rekayasa perangkat lunak. Jumlah anggota perusahaan ini tidaklah banyak, berkisar antara 5-8 orang saja. Permasalahan yang tejadi pada perusahaan adalah tidak adanya identifikasi terhadap risiko-risiko yang mungkin terjadi.
Masalah-masalah yang pernah terjadi contohnya adalah klien yang tiba-tiba menambah fitur pada software pesanan, tidak ada milestone pada proyek, tidak adanya data tentang system milik klien dan tidak ada monitoring pada proyek yang sedang berjalan. Halhal ini dapat menghambat kinerja perusahaan untuk bekerja. Untuk itu dibutuhkan suatu analisis risiko, yang bertujuan menganalisis faktor-faktor risiko apa saja yang mengganggu pengembangan software dan respon terhadap risiko-risiko yang terjadi."	Journal	2015	Algoritma Rocchio, Vector Space Model, Pemrograman Mobile Device, Android, Aplikasi Berita, Sistem
	Aplikasi Indonesian News Aggregator Berbasis Android yang Didukung oleh Sistem Perekomendasi	"Perkembangan teknologi internet berkembang dengan sangat pesat. Hal ini mempengaruhi kebiasaan manusia dalam mencari dan mendapatkan informasi. Berita menjadi tidak dapat dipisahkan dari kehidupan sehari-hari manusia. Ada begitu banyak berita berlimpah dengan berbagai macam topik dan kategori untuk dibaca, sedangkan waktu yang dimiliki oleh manusia untuk membaca sangat terbatas. Oleh karena itu, diperlukan adanya fitur rekomendasi pada aplikasi berita masa kini agar dapat menyuguhkan berita sesuai dengan apa yang disukai dan tidak disukai oleh pengguna, di mana pengguna dapat memberikan rating pada setiap berita yang dibaca.
Penelitian ini berfokus pada fitur rekomendasi dari aplikasi berita berbasis Android. Untuk memberikan fitur rekomendasi, diperlukan adanya server yang dapat mengambil data berita dari berbagai macam situs. Kemudian, dilakukan parsing dan pengolahan pada setiap data berita yang sudah didapatkan untuk dipakai dalam perhitungan profil pengguna."	Journal	2015	"Algoritma Rocchio, Vector Space Model, Pemrograman Mobile Device, Android, Aplikasi Berita, Sistem
Perekomendasi."
	Pembuatan Sistem Peramalan Penjualan Dengan Metode Weighted Moving Average dan Double Exponential Smoothing Pada UD Y	"UD Y adalah supplier pompa air, sparepart (kapasitor, seal, kipas) dan penunjang pompa air (klep, tussen klep, tabung). UD Y sebagai suatu usaha dagang sering kali mengalami masalah dalam memprediksi jumlah produk yang harus di beli ke pemasok setiap bulannya sehingga terkadang stok UD Y berlebih dan kadang kehabisan karena tidak ada sistem yang membantu memprediksi jumlah produk yang harus distok. Oleh karena itu pada penelitian ini akan dibuat sistem peramalan dengan metode Weighted Moving Average dan Double Exponential Smoothing yang dapat membantu UD Y dalam memprediksi jumlah produk yang harus dibeli pada setiap bulannya
Sistem peramalan dibuat dengan menggunakan database MySQL dan bahasa pemrograman Hypertext Prepocessor (PHP). Dari hasil pengujian terhadap sistem yang telah dibuat, sistem dapat meramalkan data penjualan produk di UD Y sehingga sistem dapat membantu UD Y dalam mengambil keputusan pada perkiraan stok produk dengan tepat."	Journal	2015	
	Enterprise Architecture Data pada Hotel ABC	Hotel ABC is a company engaged in hospitality management, ie room rental, rental of meeting rooms and coffee shop. Hotel ABC has a branch that has the same specifications of the hotel. In business process, Hotel ABC has information systems to support existing business processes. However, existing information systems have not been integrated as a whole. Based on the condition stated above, analysis and design of enterprise architecture information system is created for the company. The process begins with analyzing the business model and business strategy of the company. Then analyze the conditions of current information technology in enterprise, problems faced and the requirements of future information technology. After that, the design of data architecture, application architecture and technology architecture are built in accordance with the objectives, business strategy and business processes are made.	Journal	2015	Sistem Informasi, Arsitektur Enterprise, Perencanaan Arsitektur Enterprise
	Analisa Risiko Teknologi Informasi di Divisi Produksi PT. X	PT. X merupakan suatu perusahaan yang bergerak di industri rokok. Dalam menjalankan proses bisnisnya, perusahaan ini menggunakan software, hardware, jaringan, dan mesin yang digunakan untuk proses produksi. Tetapi perusahaan kurang melakukan monitoring terhadap alat-alat IT di perusahaan sehingga bila terjadi masalah, proses perbaikan masalah tersebut menjadi terlambat, dan perusahaan tidak memiliki rencana bila terjadi bencana.	Journal	2015	
	Analisa Risiko Pengelolaan Data, Keamanan Sistem, dan Pengelolaan Vendor TI di PT. X	"Departemen Procurement PT. X adalah sebuah departemen dari sebuah perusahaan manufaktur yang berpusat di Surabaya, bertugas sebagai penyedia kebutuhan yang diperlukan oleh seluruh departemen di PT. X. IT di Procurement sudah digunakan secara penuh untuk menunjang kegiatan dan proses bisnis perusahaan. Namun tidak pernah dilakukan analisa risiko sehingga menyebabkan perusahaan tidak mengetahui dampak apa saja yang mungkin akan terjadi yang dapat menghambat kinerja Procurement. Untuk itu dibutuhkan suatu analisis risiko yang bertujuan menganalisis faktor-faktor risiko apa saja yang dapat mengganggu proses bisnis Procurement dan memberikan respon terhadap risiko yang paling kritikal.
Pada penelitian ini dilakukan analisa risiko terhadap IT dan proses bisnis dalam lingkup Procurement PT. X. Langkah-langkah dalam melakukan analisa risiko tersebut yaitu dengan menggunakan standar COBIT 4.1 untuk menentukan proses dalam analisa, ISO 31000 sebagai framework langkah-langkah kerja, dan Risk Rating Methodology OWASP sebagai acuan penilaian dan perhitungan risiko. Berdasarkan wawancara yang telah dilakukan, ditemukan beberapa faktor-faktor risiko yang ada di Procurement PT. X."	Journal	2015	
	Document searching engine using term similarity vector space model on english and Indonesian document	"In line with technology development, the number of digital documents increase significantly, this will make process to the search a particular documents experience a little problem. Therefore, the role of search engines is become inevitable.
Usually, search engines conduct a searching process simply by looking at the similarities between keywords (that inputed by user) and terms in a document. In this research, we try to implement Term Similarity Vector Space Model (TSVSM), a method that also saw the relationship between the terms in the document. The relationship between terms in a document is calculated based on the frequency of occurrence in a paragraph. So this will make possible to search documents that do not contain the exact keywords that inputed, but have terms that related to those keywords."	Konferensi	2015	Term Similarity Vector Space Model, Term Co-Occurrence Vector, Term Co-Occurrence Matrix, Search Engine
